text,sarcasm_label
you decide to go on vacation without me sleep? reaaaal nice. #considerate #not 😒💤,1
@user i do love a chilled night in. saves having a hangover to😂 thank you hun x,0
"oh look, we're having another storm in sydney. how unusual.",1
same #soundcloud dl: follow> @user #atl #consciousmusic,0
happy holidays! (this is officially our christmas card) #bestfriend #uglysweaterbarcrawl,0
"@user i'm relaxed, and waiting for the facts to come out. but i've listened to blaine hammer on players for doing similar before.",0
#pick #up #linez to use|boy:when u smile its like the sun|girl:awe|boy:because ur teeth are so yellow|;),0
can i get an amen??!,0
isabelle sends me the nicest texts 😣😖💔,1
i'm really stoked about going abroad in the fall. and well next week but that's for completely different reasons. #imissmyboyfriend,0
cc: @user my last tweet. wayne's world is a great movie.,1
"@user ikr?! don't you see? he's gonna cry from his utter joy of being with that crybaby! such a beautiful ""couple""",1
#asksuperwomanlive if you could swim in any liquid besides water what would you swim in?@iisuperwomanii |[NUM],0
when ya mates dad starts poking you on facebook #cringe 😲😬,0
the thought of work tonight really kills that friday feeling.,0
@user warwick davis is more than twice the man tony blair is,1
stop subtweeting 😉,0
"@user your not understanding something, does make you an expert in the field.",0
@user grabe! affordable na affordable,1
the dude who told me money isn't everything is arguing with his son over money. in public.,1
@user not bad for a kid from az. hockey doesn't work in the desert.,0
great way to start of the day,1
@user what's the prices like?,0
"@user you're #not familiar #with matt busby, #then. lol.",0
love the fact i'm sick on my birthday,1
congress just screwed us but it's a great day in the district because we got another stadium! #sarcasm,1
".@janicedean, michael bloomberg will be wearing his speedo for the #globalwarming with his bodyguards. @user",1
can always count on you to speak to me on here then delete the messages so it looks like i'm talking to myself. 😒 @user,0
feeling artsy tonight. #artsy#homealone#vienna#studentlife @ b&e's apartment,0
last day of school it was so much fun but not much people came. what a shocker,1
the of how worst films become must see #films:,1
[NUM] [NUM]/[NUM] hour nap then up for a ct scan at the hospital. perfect timing.,1
@user just abt [NUM] say d same :) i'm not sure whether oxford brookes uni is part of oxford uni. yet his cv is impressive still!,1
nose is stuffed.awesome.,1
"a man must have ([NUM]) f's to get a a in life: fortitude, focus, & finances. @user",0
"#sometimes the best thing you can do|is to not think, worry, obsess.|just have faith that everything will|work out for the #best.",0
is sleeping medication like ambien any better for you? rt @user this is what alcohol does to your sleep,0
"thanks mom for all those lovely words, you just love to let me know how proud you are of me | #wordshurt",1
"#its #over, its not finished|its not ending, its only the #beginning when #god is in it, #all #things are...",0
@user ill see you in the finals,1
"explosions! nicely done. apparently, the joker & i have a lot in common. that's...disconcerting. #batman #startrek",0
@user i love button pushers!,1
"facing health crises, india slashes healthcare #goodgovernance #namo #gogo #buredin",1
@user absolutely! i have no life so that shouldn't be a hard thing to do. haha,0
"anw as long as there's nothing going on with the both of u rn, i can still forgive u but i cant promise to forget",1
"grace is a free spirited [NUM] yr old with the most humble heart. aspiring model/actress, she also enjoys #piano and dance.follow> @user",0
"@user this has been my point all along, that tc is proving to be #ecigs best advertiser to teens.",1
"#notcies #eu liverpool workers ""miscarriage of justice"" victims",0
@user whoa! i hope dione taylor got a standing ovation for that performance. incredible voice.,0
"'liberated' iraq -- [NUM] one of bloodiest years with more than [NUM],[NUM] victims: thank you, western liberators #sarcasm",1
doing mental calculations and realizing that your chances of passing a module are slim to none is fantastic,1
@user why all the delays? happy,0
"my whole life is just ""oh ok"".",0
kisses to you bc you lose wisdom today.....from your mouth #clever lol i love you text me when you're able 😜,0
"is there a ""like"" tab on me? i'm not a facebook status to be liked by people... #sarcasm #rudebuttrue",1
"you>@rbrnetwork1< do not represent all blacks in fact, most reject you @user",0
can't believe @user is even considering renaming the academic building after perry...b/c he did so much great stuff for public educ?,1
just one of those nights 😔,0
i love context and large ensemble fridays!!!!! der my most favourite #sarcasm #getthefuckout,1
"@user happy new year, da! thanks sobra for this year 👍👍",0
thank you @user requiring facebook to participate in twitch chat is really a good way to push away interested players.,0
this is a great time for me not to be feeling well... 😒,1
loving life.,1
it's been one year of off and on eye twitching. #sofun,1
"#video on #jesus and #bulldogs which is #deep and #meaningful|cough, |#dog #dogs #bulldog #religion #vlog|[URL]",1
"#russia #says #new #u.s. #sanctions #may #hamper #dialogue on #iran, syria. via @user",0
"i thought what we had was real, how could you be fine? coz i'm not fine at all oh wait. fixed the caps lock ^.^ #laughnow .o.",1
@user i love when the wilfully ignorant embraces hate and still think they hold a moral high ground |,1
#but #buy #couch #enveloppe #if #its #homedecor|please rt:,0
@ the hospital for a new allergy test... love it.,1
@user stunning work. #british #textiles #footwear #madeinbritain #not-a-nike-clone,0
really looked forward to waking up this early for finals......,1
"@user email me when you need a friend...always here to chat, i've been there many many times so right with you xx",0
that's nice.,1
check out the new novel black beauties by eureka johnson on or,0
@user his song angel of death is a good one. it has lyrics bashing the vatican,1
"@user the cop also had prior misconduct charges. but, ya know, that's ok #sarcasm",1
every inch of you is perfect from the bottom to the top unless you're skinny #shade #sarcasm #themoreyouknow,0
@user but it's not a time capsule! it' current in time,0
well on a positive note if i can stay awake for another hour i can go get my blood work done! #positivenote fun stuff,1
i guess my cat also lost [NUM] pounds when she went to the vet after i've been feeding her a few times a day.||#eating|#food| |#workingout,0
people aren't as beautiful as they look #people #beautiful #look #walk #talk #personality #love #care #share,0
[NUM].30am conference calls.|#love,1
produce mobile apps #bluedream|,0
"my professors moustache is so uneven, mohstash would be ashamed right now",0
i love [NUM] hour shifts 😩😩😩,1
finals week is draining my body so much that it's ruining my life in other places. lovely...,1
most useful algorithm i've learned in class so far is finding a substring by using the fast fourier transform,1
"my mom is the most annoying person i know. i know you're gonna read this since you creep my account, s/o to my mom #idc#istillloveyou",0
"@user paul believes rubby, webster, kelly, etc. are bad players based on '[NUM] projections. i believe in their upside.",0
@user lfc worst start in [NUM] years and still above efc.... that is funny!!! #wishwehada28milstriker,1
@user how do i give feedback on some food i've just. happy,0
a wonderful day of starting work at 6am,1
i feel she didn't love me :/ :( :( #im #ok,0
"song of the day: ""the lights and buzz"" - jack's mannequin.",0
ahhh finals week.... i'll throw a kegger at my house for all the survivors 💀💀💀 #motivating #rip,1
gonna need k-state to play a little better but loving seeing this team in action with beckthies,0
"so @user still waiting, my son is very happy enjoing his christmas gift ... i cant understand how u didn't prevent this ...",1
"if i carried on the way half the men do on here, i'd be getting called a crank (amongst other things) and be asked if i had #pmt... 💅",1
playing golf all day 'ery day |#perksofbeingold,0
the er sucked tonight ... urgent care tomorrow .... yay #fml #ugh,1
the moment you realize that what have you done in this whole year .,1
happy 2nd anniversary to me in sgv. happy ot here in client. woohoo. i loooooove my job. super. more years to go!!!!!!!!!,1
so there used to be a crossfit place here.... #irony #pizzawins,1
"@user good yeah its been good.. feel tired my self, bed soon 😴😴 x",0
"may not have hung out with you as much as some people, but every time we did it was a blast! you...",0
confucius motivational quotes free android app,0
please dont fuck with me when i first wake up a morning person!,0
in #iowa. anti-union governor #branstad having inauguration & ball at #communitychoice credit union center. a slap to #afscme #homan,1
i just love a chaotic school run!!!...,1
"yeah, the prom is the most important event in your life",1
@user thanks for the wake up wrap and coffee this morning!! #cheapbastard,1
@user tamir knows mike brown raised his hands & was shot dead. he wanted cops to see he had a bb gun & was still shot dead.,0
hahaha! @user enjoying the #selfiestick i got her for christmas!,0
"we need to stop using the words ""racist"" & ""racism"" @user",0
"sooo mad right now, great way to start my day",1
@user looking back on saturday night like... @user you about thursday 😂,0
"i used to joke around about my cats being able to open my doors, never expected it happen.",1
ppl keep snapping me and i can't snap back because i'm looking too good rn,1
@user well what can i say 👤,0
a whole day at ns w/clients. yay.,1
now in the malls! take years off your skin! seacret minerals from the dead sea!!!,0
it could be a jihadist ?hello!! it is jihadist's radical islamists! terrorists!|#sydneysiege #daesh,0
@user i don't like yellow but most of my things are yellow. hi kapitana!!! nagaaral kmi ni @user asdfghjkl huhuhu,1
"christmas part two began at my parents house today.many gifts,mountains of wrapping paper,excited nephew,missing batteries, veggie chilli.",0
can't wait for my [NUM]:30am #dental appointment tomorrow!|oh time please speed through today! !,1
totally been killing it with my assignments lately #socollege,1
"@user you drive a ferrari, right? you being a beautiful clever woman?",0
"@user of all the spice girls, you'd pick her?!",0
its only been [NUM] mins in class n i already wana kio myself .a.mornin.person,0
trivia crack is taking over my life.,0
"watching my grandparents and my parents pay all these bills, really excites me for the future. -___-",1
cool.,1
lol lets see if he actually reads it|@laura_charlii,0
i'll watch #takemeout like the rest of the country... hope there's an adorable girl who is ditsy hahahaha #zzzz,1
@user what???? no verbal submission?,1
@user i'll be a bit sweaty by the time i get to you!,0
"@user yep, the family of #ericgarner is feeling really joyful right now... #blacklivesmatter #shutitdown",1
"photoset: babaybubblez: aquabreeze: disgustinghotels: all men but lets not forget in the real story,...",0
"oh yeah, that was funny as hell too, @user",0
love it when you can see people have read you facebook private message but they just don't reply,1
@user so helpful,1
"you missed it @user i just watched #got the rains of castamere, rob stark and his entourage all die :-(",0
anybody using their rights to protest legally gets the law thrown at them. & the ones who do the crimes don't. that's #irony #notjustice,1
#teenanalcasting #what what is the creampie crusade?,0
i would love to touch an anaconda! jump on that thang and ride it like a horse! #eatenalive,0
@user regarding what the psu president does,0
"@user rest well stuart, you were a man of grace & courage. may your family find peace.",0
i liked a @user video new chocolate bar palette review | semi sweet vs. original,0
@user he is exactly that sort of person. weirdo!,0
i have this weird urge to buy a hamster,0
"@user ya, because if history has told us anything, it's that betting on sports is a great way to make money!",1
@user hahahaha love it mate. have a good1 xx,0
we hold these kids back..... #rut340,1
look really awake and like i've made an effort today,1
'nuff #bob #couldn039t #not #repin #ross #tattoo|please rt:,0
lunch today. #fakelobster #lifestyleoftherichandfamous #worldofswede,1
yeah so i'm on a diet🍕,1
successful morning doing my essay... #christmasshopping,1
why is isis an acronym for words in english?,1
lol well done swans,1
"i can't remember the last time i saw ""[NUM]-bit integer"" in mainstream media! #software #gangnamstyle #geek @user",0
"i like to think of myself as a broken down justin bieber - my philosophy professor, everyone. #sarcasm",1
"if there was no #cfbplayoff this year, would there really be an argument against #alavsore for a #nationalchampionship? shouldn't be.",1
[NUM] but [NUM] girl friends - #drambarish- upcoming movies,0
why couldn't i just stay sleeping,0
should be a balanced view then @user,1
"@user nevermind that, but do pray tell,would scherzy still play grizabella?",0
i think the new sweater i bought is a maternity sweater. oh well. its super cozy,0
@user blacks aren't elite enough to die in hospitals remember? that's only reserved for when police are in casualties...,0
love waking up early in the morning #hockeytournament #reflife #zebras,1
"@user dualistic, as in good and evil? right, because that doesn't apply to the real world.... #sarcasm #orcslive",1
i just enjoy throwing up #not #hatethis #sick #wanna #go #to #school #for #once #take #me #away,1
"@user yesss! what makes it worse is when they look gorgeous and say ""i just got my face beat!"" wtf? #contradiction",1
@user funny joke there bae...,1
i take blazing hot showers so i can get used to burning in the pits of hell. #ifitsreal,1
"#jeremynortham there, insulting piano's and songs. shut the fuck up man. bet you thought you were #epic.... #gosfordpark.",1
@user #christmas #gift get started at making money in social media @,0
what a difference [NUM] years makes #bestfriends #changed #one #bit @user,0
tough day in sun #kitsch#funny @ costa teguise lanzarote,0
@user this year's class picture is so awesome. really awesome! 👊 hahahahaha 😂,1
heading to my nanas place its going to be so fun,1
"yup, amazing how that is, isnt it? @user",0
@user and this is a warmly ment from me to you! :-),0
"guess its just me, brett and my mom this year. gotta love my family!",1
@user you tweet about having a flip phone? now that's the definition of,0
"absolutely no #alp or @user fan, but seriously many have done this before him & many will. #scapegoat #excuse he was a lame duck",0
"@user maybe they are going to jump in and land on something that is technically not ""the ground"". ;)",0
"@user i think thats what made me confused, i was too dazed",0
"digital drumsticks, thanks grandma and grandpa",1
"if your local theater has a physical marquee with letters that can be rearranged, it's your duty to change them all to ""the interview.""",0
i think burgerking is working with the sjws. my fries are as salty as sjws about @user winning an award,0
"too late, thrown the #ps4 out of the window last night cus i couldn't play",1
@user it's so the speaker remembers their talk's over. otherwise how would they know? #sarcasm,1
mt darth vader is polling higher than all potential [NUM] us presidential candidates you surprised?,1
"@user now, tomorrow productivity at work would be hampered. #getmetoevc",0
well you just have to look... don't you ?? #wrestling #sportsentertainment #wwe #raw or #smackdown #co...,0
lol at the #eatenalive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv #garbage,1
"@user this is true, the patriots, packers, or broncos could suddenly need a new coach #itshappening",1
saying no to them is the first way you say yes to yourself.,1
don't you love when guys try to give you their number? keyword tried. #backupoff,1
@user that is fine company!,0
the champions league is overrated anyway!,1
"so, matt and natasha are having sex. #whatasuprise #whatelseisnew",1
"@user oh aye, i'll give you that ; )",0
someone tell me where tf to find a fried chicken ornament bc this shit is necessary,0
getting hit on by a tsa agent who thinks my first name is bowie #wifemeup,0
"if christian expects fifa to sleep in my bed with me tonight, he's wrong 👿",0
@user nice to see you admit your errors slightly different from your earlier stats for [NUM]! @user,1
i just love eu servers....,1
free dating and relationships books #freebiebookdownload #greenliving,0
#notcies #eu moscovici quizzed on extra time for three eu countries to hit eurozone targets,0
goes both ways #make #love #not #war #peace,0
#libby #lane #appointment: #women #bishops #debate #over: the appointment of the reverend libby lane as the...,0
@user i can sign you in as my guest....,0
"@user i.e., strength in numbers, focused movement, appeal to other countries, use pens and paper, change the way we live drastically.",0
getting final jeopardy correct on kids jeopardy boosts my self-esteem,0
looking forward to doing my [NUM] page essay tonight 😋 seems like fun,1
that moment you drop your phone right after your kid gives you a case for xmas but before it's actually opened and put to use.,1
over on cbs at noon is #balvsmia. fox has #seavsphi after the #saints. #nfl,0
nothing beats a surprise tetanus shot at the doctor's office. #blessed,1
i love my mom,1
first day of christmas shopping tomorrow. can not wait.,1
"you believe you can say something, provide no proof and its a fact, wrong @user",0
just a @user article re: a robot arm you can control with your mind. meh. nothing huge. #sarcasm #science,1
@user probably a nigerian.,1
@user way to lay out yesterday and put it all on the line #goodleader #sarcasm,1
follow friday is everyday. help new ones so they feel good being on twitter.,0
"that awkward moment when you plane your whole day around your golf class, and it gets cancelled! #stupidrain",0
@user huh? it's a graphical representation of what's happening. nothing is out there to take a photo!,0
"#foreplay, #cuddling – a #jedi #craves these #things"" - #yoda #quotes|[URL]",0
"@user bf4 sp is shit, while the mp was broken for [NUM] months so...",0
thts impoxible koz the late kajwangs brother is stil alive and kan occupy the seat but raila,0
i should get out of bed now lol,0
can always #countonmother to impart #wordsofkindness. especially on a special day! !!,1
i don't know what's worse...the fact that mcdonald's is open on christmas day or that people are actually in there eating it right,0
"laborers in the san joaquin valley, one of the most productive farming regions in the world, suffer from food insecurity. #irony #poverty",1
"yeah hastings, rose, bird and beer is a much better [NUM]-[NUM] than richardson, zampa, laughlin and tait.",1
"showed mom this picture of me and @user & says ""this is grunge"" and she goes ""haha!! i love it!"" #momgoals",0
"how is it possible that somebody so interesting is also so, so, so boring? #irony #what",1
i'm giving up a lot of stuff to make sure others are happy . i wonder if anyone ever look past my appearance and see what i'm feeling 😩,0
#uniform#unity #lmfair14,0
"scoped out a new route on today's 5k. but oh.. the crowds, the traffic, the noise 😄 #not...",1
coin ! watcheronawall: anyone else find it sad that we have to remind conservative republicans that torture is wrong? #torturereport ...,1
beautiful day for climbing mountains... |#newzealand #earnaview,0
please snow let us get out of dance early,0
"@user porn!? where where?? move that naked woman, i can't see where the porn is!| #games",1
#take#a#deep#breath#it's#just#a#bad#day#a#bad#life,0
@user i'm smarter than most people who lie to me. i have fun picking the holes in their stories.,0
"my dad's still gonna get me santa's gifts since it's my last year before [NUM], but i really don't know what to ask for... #irony",1
congrats still sasmvt for a good run. ulitin nalang ulit ang [NUM]-peat next year :),0
#nypd 😟😕😢😪😞 not cute #nypdmutiny i am sure the citizens feel real safe you showed us who you are.,1
"lol and now you cant see when blocked, best thing you can do is install a different browser @user",0
i've got a right thirst on... #newsyearseve,0
why is there a hotdog on|[URL],0
hold it bub! >> >> #cartoon #comics #funny #jesus,0
just found out i have my making babies final on thursday. good thing i have so much time to study,1
@user thx4flw! flwthemusic @user we r #elektrikbloom #elektrikfantasy #iwant2drift #elev8theunderground!,0
to be an ass but ohh yeaa!!!!,0
@user to finally win the champs league.. no teams are that good this year and we've got a solid draw #banter #stillgoingout,1
"@user ha yeah which is your opinion, which like mine, means nothing ;) they're in.",0
hahahaha!! oops.......i'm addicted to @user tweets sooo funny! you got to follow him for #hilarious #sarcasm #tweets #rt.,0
"#sopping #wet|#squishing #mud #between #toes...||well, why ...|#swimming in a #mud #puddle",0
ruling party in power#central#state#misusing their power#pm speaking only in foreign parliment#pm to visit out side india during session,0
@user ben were you going to pick up your pizzas today?,0
people are loving this funk. let's keep the tweet going on.,0
for some reason i feel the classiest when i'm wearing $[NUM] fake pearl necklaces. ? lol,1
wow i'm seriously dying here 🙈🙈,0
i have such a wonderful gf!,1
#teenanalcasting #sex sex and the city [NUM] movie casting auditions nyc summer [NUM],0
@user lids sucks officially! will not use again good,0
so that went well,1
i love when this happens,1
earn cash by posting & tweeting! |[URL] ||get started at #homebasedbusiness #lol,0
"kevin durant with 23pts on [NUM]-[NUM] shooting, has this nigga been inefficient since he came.",1
original content is hard to come by. -anonymous #writingtips #quoteoftheday,1
at one point i almost believed that the law of attraction was effective. !,1
@user obvi because every jesuit is a heretic 💁,1
jesus. i am watching too much #thenewsroom... look at me getting all #sonyhack sermonising...,1
#advancedwarfare is so much better than any fps released in [NUM] xd,0
work should be fun today 😒,1
@user gg for giving us amazing collections for [NUM] yrs.in fact i was planning to do the same for u from my prospictive😊,0
"i don't know how you can love, but also freaking hate someone so much!! 😒",0
@user - absolutely love this song! #cantstopsinging,0
oomf should be chowed in her mom's car,0
@user i have a boyfriend! () *hair flip and walks away*,1
@user no reply. what a surprise.,1
wow i really have the best luck known to man 😅,1
@user did i really need to put a hashtag? oh dear!,0
"looking forward to a nice and long 130km #cycle tomorrow, in the minus degree weather #fool #festive500",1
"you'd hope that a film like that would lose relevance after a couple decades, but nope.",0
#bit #chair #comfy #mind #nope #ikea #decor|please rt:,0
the last time i'll get up at [NUM]:30am i'll miss this,1
"@user because your ""sarcastic""?",1
oh the - a gas hauling semi with flammable signs all over it - and the driver is smoking. #truestory #i10 #texas2015,1
yay jury duty 😒 #sarcasm,1
@user wesay yar her date was good 😉 i guess she(in first meeting)wanted to b seen with a girl or smth(in hindsight i found her mashkook),0
the spicy cali roll is just cali roll with a dab of sauce on it w t f,0
nothing says nature like the relentless sound of am commuter traffic #fthunter #amdogfun #not@allpeaceful,1
"some are really loving the criticism on zoella. let it rest, please. i wonder what you would do for some £££.",0
i just want to be done with finals #4hoursleft,0
#ready for doing #business today 😄 🙈 #tiredashell #coffeecoffeecoffee #morecoffee #...,1
@user happy to be of some small service ;) @user,0
@user i moved here from north jersey and was a big rangers fan until the coyotes came to town. where are you from?,0
i love it when work tells me they don't need me to come in 💁😂😭😭😭,1
"the rondo, ellis, parsons, dirk, chandler starting line up would be one of my favorites in league. mavs should go all out for rondo.",0
on my lunch break so sleepy😴,0
@user christmas as an adult with broken family. just awesome. nothing like your stepsister with [NUM] kids..,1
just found the picture of lisazamorano trying to kill me #bff at our #seniorbrunch @ moutain meadows,0
@user are you looking at the wrong profile picture?,0
@user try having no internet for a month. now i know how ethiopians feel.,1
"the last day of the year and i will be tweeting on my major highpoints of the year ...good, bad and ugly",0
"@user hahaha good [NUM], you might own a stadium then rather than the local council ;)",0
@user after i went to europe,0
to have a highway clean up section of highway. people expressed their freedom of speech @user,0
fischer ordered fish and chips,1
"@user yeah thanks for messing me about and then not delivering on the product, i feel really great about how this went down!! #not #thanks",1
@user saturday at [NUM]:[NUM]? damn...there goes my secret news paraphernalia.... telling,0
"@user awesome destination site. high population of 136k, super easy to get to, lots of great sites. will do well there! .",1
"they dip, we drip #fat #sumo #hippoes #happy #like #so #turtle #googlemapcibae #love #bij...",0
"@user aaaaaamd what time is your bedtime? >better tweet dad at night from my house. i don't want to get in trouble![NUM] [NUM] can't wait till my birthday [NUM] [NUM] clovis cartoon, tuesday, december [NUM], [NUM] #jamaicaobserverandroidapp via @user a real mccoy3031 [NUM] just now layin down to go to bed.|college is great guys. it doesn't stress you out or keep you up at night at all. or make you cry. [NUM] [NUM] pretty sure i just sat behind @user in the mcdonald's drive through and peeked to see movie what was playing 😂[NUM] [NUM] @senrandpaul #chrischristy will do well among republican voters.#jebbush, i think he could do well, democrats don't like him.[NUM] [NUM] nights like tonight are the only reason i'm able to carry on to the weekend #suchagoodweek [NUM@@",0
travel and tourism this morning.my favourite lesson whoooo,1
@user ahh... the hill. i seem to remember (sort of) mud sliding down that hill at many a buffet / steve miller concert. #goodtimes,0
jordan fan here|| 😛 -not a hater.,1
psychic advice weekdays at 9am (pdt) on psychic view radio..call in [NUM]-[NUM]-[NUM] to ask your question #blogtalkradio,0
@user can't wait to play the #bfhardline beta with you xd #epic,0
feeling the irony of using to find people ironically using the work irony wrong. #metahipster,1
"ugh, i would give your first-born for some pepto bismol right now. #upsettummy",0
@user explains why inter went all calciopoli over juventus...,0
"family time is nice and all, but i'm ready to be back at work on this fine morning.",1
yay i love being awake at [NUM] in the morning 😀🔫,1
coffee and prioritizing the mess that is me; trying to be #grown but clearly i am,0
had an insomnia cookie and now i can't sleep,1
stop by and pick up alexandra's book with a coupon!,0
you really know how to treat a girl,1
@user didn't know that before putting him there#they all reck our country#pdp clans do not deserve another day even months,0
#average #ball #not #party #ping #pong #homedecor please rt:,0
i couldnt help myself.. i am a bad person...,1
@user definitely the latter : o,0
"@user unless rogue theatres start showing it, or it gets sold online?",0
"no reply day! i mean, week!|#happiness",1
so if three geeks can bring down the whole of microsoft and sony networks..my annual firewall subscription is worth every penny!||,1
i guess i'm dreaming. how else am i able to visit this site. guess they won't let a prisoner have a phone right?,0
@user why? he has draft pick compensation tied to his name and is only six months younger.,0
maybe i should delete my facebook tab- cause then i'd probably get more stuff done and be less distracted,0
@user it's really difficult not to bark back at my pms-ing daughter. when bae tweets about you <,0
you blame him for everything else @user,0
just flossed and then ate right after #inconvenient,1
thanks @user for taking down <[NUM] we all love you for this <[NUM],1
@user there's a surprise.,1
"@user i bet you're gonna be outside today, its soooo warm, t-shirt and shorts weather 😳😏 #funny",1
@user a ghostwriter? shocked...,1
nice weekend off but back at work tonight. over the fucking moon,1
"putting good things in my mind for lunch today instead of just internet junk. oh, and tweeting. tweeting good for building tribe.",0
this gone be some fire ! 🔥jan 24th #getlifted,0
easiest final of my life. so glad i studied [NUM] hours for it,1
@user on stage at #flzjingleball at the @user in #tampa #iheartradio,0
@user to be fair he looks like he's lost a lot of weight since his amazingly successful halcyon leeds' days!,1
@user hate it. go back to the old format please.,0
you're still shit @user #cheater #pong,0
@user that's funny,1
"hey, @user denialcsgo decided that they want to replace @user and i'm their new player. #nashuffle nobody is safe. #csgo",1
our physics exam was quite fun... #prelim,1
gotta love being lied to.... #not,1
"get on the work bus, driver turns his music on and the first song on is 'another day in paradise' #irony",1
@user did you get fat on your honeymoon?,0
i absolutely love moving house,1
#repost hernanpuentes with repostapp ➡️🔜📷 #comingsoon #loveit #loveu ・・・⁰perfection..... filter...,0
my fingers smell like lavashak :),0
it's freezing out there & very hazy .... just want to go home.,0
"russia says ruble crisis over as reserves dive, inflation climbs via @user",1
my favorite dreams are the ones where you wake up covered in tears.,1
"amazing how they are the one doing the ignoring, and think they are set free @user",0
they are still trying to decide if it's terrorism?? omg! #sydneysiege,0
ppl make blanket statements about a whole race as a defense that they are sick of hearing about race,1
"ostentatious ""a showy display designed to impress"". thats the word i immediately think of when i see a woman feeding her child! #idiot",1
"@user whenever i write anything with the word ""immigration"" in it, i'm happy if there's back-and-forth.",0
ah yes. just what i wanted today- a pounding migraine. #sarcasm,1
"lawyer on train to other lawyer talking about ceiling ad- ""who would even read that? no one's going to notice that thing...""",1
a year ago this would be just a writing on a t-shirt anymore all thanks to @user #merryxmas,0
@user oh mature girls,1
@user his daughter is painting his toes! that is a parenting win in my book.,0
this is fun,1
amar singh gives a+ rating to the modi govt but arun #shourie says more is said than done in present govt #irony #politics,1
"#legend says if you stand in front of a mirror+say ""i can't even"" [NUM] times, a girl in #yogapants will appear+give you a pumpkin spice latte.",0
it's funny to think that there are literally books out there for whatever you want to do in life (be a...,0
watch father and not his daughter fuck #old+young #father #and,0
#gapingangels #georgeous georgeous busty blonde drilled in all her aroused holes!,0
ok...so these two are my #absolutefavs and i am ashamed to admit that i actually cried when my...,0
try to ring @user about a plumbing issue. her phone goes off upstairs with super mario theme tune #retrogaming,1
and here we gooooo.....lol #calledit #bandwagon #houseisafeeling #educate yourself kids,0
i love how today is going,1
@user has passed @user as the world's most valuable #startup! #growth #nyc,0
how much did it cost to build #mygov #medicare? i see this way too often...,0
"@user that's where you are wrong, i can just watch his films and not follow him on twitter.",0
"@user yes, you are but it also shows your ignorance , and hate.",0
