text,emotion_label,sarcasm_label
"Angry at being separated from Jeanne , Modigliani spent much of his time drinking in a windowless little bar where local artists met , where he drank and ran up debts .",0,-1
"When mother was very ill , I feared that she would die .",2,-1
I hate not having anyone to smoke with right now . My brother wo n't wake the fuck up . #rage #thuglife,0,-1
So the same bum a $ $ ninja & his friend that were trying to buy me drinks & food walked out on the waiter ! ! ! LAMES Me ! ! !,1,-1
"When I am discussing something with a person and I realize that the other person is thinking over her own argumentations instead of listening , I become angry .",0,-1
When my boyfriend told me that it would be difficult for him to marry me .,0,-1
I confronted a bigger person than I and almost got into a fight .,2,-1
"So on the one night @USER & I decide to get our social lives back on track , it decides to rain ...",5,-1
I 'd be completely freaked out if one day I was having stomach pains and 2 hours later a baby 's head was coming out of my vagina .,7,-1
Today was actually a pretty alright day ! Selling my DS and games tomorrow so I can buy his christmas present :),7,-1
I will be all right soon . I was terrified when I watched them fall from the wire .,4,-1
"I would n't mind the thunderstorm , it 's just that my dog is petrified of thunder & barks at it . There is only a thin wall seperating us .",3,-1
Please look at the sky.Don ' t you see the dark clouds ? It 's going to rain soon .,4,-1
"Herstige ' gestampte ' pot , met superieure wijn en gesprek . Wordt een vroeg en ... zonder",7,-1
What 's the problem ?,4,-1
"The warden and his wife , being owners of a Siamese cat , were not overjoyed to see Emily but they reluctantly fed her a saucer of milk , saying that she could stay for one night .",3,-1
When I heard that a good friend had committed suicide .,5,-1
"One itemised phone bill to Bedworth ' s horrified mother ran to 34 pages of listed calls , the jury heard .",2,-1
How can we have a house full of food but still nothing to eat .,5,-1
Auuuuuuu ! ! ! :D ! RT @USER : Cc @USER LOL ! ! Lwena my honey .. Hahaa :smiling_face: RT @USER : My honey 's birthday in 5 days ... :heart_suit:,3,-1
"The elections of 1982 and 1985 . The thought of what a social democrat and communist majority could achieve , especially \ worker share \ "" funds and its extension . """,5,-1
"I ' m really happy in the group now . """,3,-1
a woman worth some is certainly worth some #effort,0,-1
i feel like want to tears when i watch that video .,5,-1
Feels good being able to beat box again of having a swollen lip,3,-1
Why do I get the feeling that someone is doing something to screw this up again once I get another chance ... #onemorereasontohateu,0,-1
Gettin ready to drive back to chatt town ... Last minute playing with my little b 's !,5,-1
"And know that I pop bottles because I bottle my emotions , at least I put it all in the open",2,-1
Sure . You look like you 're all black and blue .,0,-1
Ca n't tell you how bad I feel right now quitting smoking :(,5,-1
"I do feel like a trip to Florida on such a gloomy day in New York , to enjoy the sunshine while lying on the beaches of Florida .",3,-1
"Just before I started my study I had to move , I was very afraid to be left alone and that I could not manage it .",2,-1
"Well , My car is total wrecked .. Miss it already .. Pff ..",5,-1
Watch this press conference on & this guy squirmming when asked about the terms / length of the contract .,2,-1
My Dad gives pretty good dating / boy advice .,7,-1
Home bound ! :) Carl bought me McDo and Snickers again ! \: D / Thank you for picking me up in school ! :),7,-1
"Just home from group celebration - dinner at Trattoria Gianni , then Hershey Felder 's "" MAESTRO "" performance - AMAZING ! !",3,-1
"Seven years ago tomorrow , I said to myself , "" I bet that whole ' gum stays in your stomach for 7 years ' thing is bullshit . "" #comeuppance",2,-1
After mischieviously ringing on the chemist 's trade-entrance doorbell and getting caught by him .,2,-1
Goodbye .,4,-1
My friend was badly hurt .,5,-1
"He 's merciful and kind , he 's in my life . Divine",3,-1
@USER Like going to TPs on a Friday night then seeing some horrendously fat girl taking a piss outside Lloyds back,1,-1
Yes . I can't find my sweater . I have my laundry sent to you yesterday but when the washing is done . I find my swatter missing .,0,-1
The Muppets is absolutely perfect . I plan on crying tears of sheer bliss through nearly the entire thing again very soon .,3,-1
At the death of my husband 's father 's mother which occurred during university examinations and therefore I was unable to attend her funeral .,5,-1
@USER Great topic today on your show - I know it can be done from experience !,3,-1
"Break ! Close your eyes , breathe deeply , remember the most wonderful gift you ever received . Enjoy again . #LJB",3,-1
And thank you very much for letting me keep it so long .,0,-1
"May the God of hope fill you with all joy and peace in believing , so that by the power of the Holy Spirit you may abound in hope . #hope",3,-1
@USER is giving at Christmas time and not expecting one back,3,-1
This is pretty exciting . I 'm in a seminar with 49 other ladies who are business owners .,3,-1
Is it bad that i have the feeling to grab this kids 's ceramics pot and break it ?,0,-1
Hey . Maybe throw that one to Wallace . I did n't need those six fantasy points or anything . S'not like the playoffs are on the line !,0,-1
"Ashamed of having frightened me , he looked at me sweetly and began to sing Italian songs to make me forget the incident "" .",6,-1
Finding out I am not chosen for the English lectures .,5,-1
""" @USER : Ca n't wait to hear Hubie Brown break it down for the first time this season """,3,-1
A cup of hot chocolate ~,3,-1
got a 1000 word drama play review to write some point this evening,3,-1
She did n't look quite so indignant as she ' d looked before .,0,-1
today is the day after which means it 's time to put up the Christmas tree and decorations .. did that weeks ago . hello Christmas carols !,3,-1
Keep doing good . Every good act matters . @USER &,3,-1
"is the source of #Hate . Do n't be scared , we 're all One . #OneLove #NoFear",2,-1
"I was very angry when my friend lost my practical 's journal , which I needed to study for the exams .",0,-1
I made an interesting observation that my somewhat correlates to my spending . I feel like buying a car now ...,5,-1
I kind of adore Conway ! So much fun and full of my favorite people ! Met with Shelley Kelley and @USER ! Now lunch w / @USER !,3,-1
When I was not selected to go to the University of Malawi I felt very sad .,5,-1
Loaned my book to @USER for the night .. Means I 'm reading 100 pages tomorrow . #ohwell,3,-1
Someone told me that I was chosen for English lectures because the class leader is going out with me ( not true ) .,0,-1
"Cool down , man . Everyone is fed up with the rush-hour traffic . But life is n't really all that . You should take the initiative and make some changes first .",3,-1
When my favourite football team made a goal and was about to win the Cup of England .,3,-1
Again !,4,-1
I am feeling very positive .,3,-1
Doing a group assignment and being left to do all the work and take the blame for any mistakes .,0,-1
And when her words caused a peculiar revulsion within him .,1,-1
@USER u are one feisty angry little asian tonight are n't you RAWRRRR,0,-1
In college . But I do n't dance very often . What 's your favourite dance ?,3,-1
@USER What a great gift for my Secret Santa ! cc @USER @USER,7,-1
"@USER My niece running towards me , arms out for a hug & smiling when we meet for lunch every Wednesday brings me",3,-1
A day filled with reading some book for English .. #shootme,3,-1
"When I finally managed to get a specific sound from my guitar , after baving tried for a long time .",3,-1
was amazing . too bad the finale is next week,5,-1
When I noticed obvious marks of old age ( in a negative sense ) on a close relative of mine .,5,-1
Just got home from work six hours ago .. & I 'm already on my way back ..,3,-1
I hate the local clubs in my city that think a local band 's nobody lead guitarist will brings thousands to their place . THEY WON'T !,0,-1
So blessed by those I 've surrounded myself with and their loving support as graduation is near ! #family #friends,3,-1
I can wait to see the return of factor tomorrow . My wife however is not,2,-1
Eating Butterkiss Toffee Popcorn while playing Skyrim ! :D,3,-1
"Early night for me , I can feel me and the forklift becoming good friends tomorrow",3,-1
I was a bit frightened when it was found that there was something wrong with my liver . However it turned out that it was not serious and I need not worry .,2,-1
waiting out a car nap because sleep is just that rare this week . #wtf,7,-1
Been a long two days .. and the next two dnt look to be any shorter ... I have in my heart,3,-1
"I am sorry , sir , it 's for 4 persons to have . I think it 's too large for you .",5,-1
"True , but English is harder than most . It 's a crazy language .",4,-1
"Nail varnish I bought is practically skin colour , so it now looks like I have no nails",3,-1
"` I desire first to go to the palace of Westminster , my lord , there to greet the queen my mother and tender my condolences - - and to share the grief of my family . """,5,-1
I 'm just gonna say this once : drink is evil . I 'm never drinking again . I hate my phone .,2,-1
i should prob go to sleep since i have to wake up at seven to help cook #thankgsgiving,3,-1
So see you .,4,-1
I will say Merry Christmas to EVERYONE ! Even those who emphasize happy holidays ! There is in #CHRISTmas ! ! !,3,-1
the Lord showed me something MAJOR through a test i went through this morning . mannnnn ! it 's all good ! i mean ... it 's all GOD ! ;D,3,-1
11:11 i wish for a lot of things but most of all i wish that them three boys would come back to us ;(,5,-1
@USER I do n't understand ! what was gonna end me ? !,2,-1
"They will always try to avoid any embarrassment , but will use their judgement on whether or not to make payment .",6,-1
and working the rest of the week ...,3,-1
In an expression of community sympathy many local children in South Ronaldsay made and sent cards to the four devastated mothers .,5,-1
RIP Dev Anand Sir ! Bollywood has lost his evergreen actor ! A legacy ends ...,5,-1
"Cindy Crybaby , oops I mean to miss the next 2 games ?",7,-1
"Volevo rendere utile la mattinata abbozzando qualcosa sullo sketchbook , ma mi hanno fottuto la matita 2H . E la 4B . E la gomma .",0,-1
iyaa dong RT @USER : kita mau dong ( @USER @USER ) jadi reporter jakcloth,2,-1
Friday night .. and rather than being excited to get pissed .. im sitting on ma laz at home ..,3,-1
@USER HAHAHAH oh my life that 's been on there for yonks LOL oh well .. :) hahaha funnyyy ! Sorry for beig weird hahaaa,7,-1
WTF victoria secret no yogas in stock anymore,5,-1
Wahh Vampire Diaries holiday break ! !,0,-1
@USER ouiouiouioui :) dinner although I think that person who mustles in on EVERYTHING is coming too ! : S : L : L : L : L : L,3,-1
"My nephew is a deaf and also hyperactive boy . I had been responsible for looking after him for a full day , and was very tired . Then he suddenly grabbed a knife and stabbed me in the leg . I got so angry that I did n't feel any pain . """,0,-1
"wanders the downtown area w @USER , ppl watching and ears perked at all the noise and gossip * #war #winter @USER",2,-1
"It 's funny how people think a peppermint mocha from is seasonal , you can get it year round #starbuckssnob",7,-1
When I go home shit do n't look the same .,5,-1
Class at 2 ... and then again at 5:30 . Then I need to come home and write an essay that 's due tomorrow . #bitchtweet,3,-1
Cannot wait to eat some spaghetti and watch tv for hours without worrying about another exam until tonight . #lsu,3,-1
So i 'm gonna be working tomorrow THE WHOLE day ... o_O,3,-1
My dad took the ipod in the beginning of my gift and my curse . Since its pandora i cant get it back .,5,-1
When we could not land our plane and we knew that the fuel was running out . Bad weather had already frightened us .,2,-1
Just got a random bloody nose .,7,-1
Some things can ruin your day real quick,7,-1
Arabic coffee what can I do to make you happy .,3,-1
A friend had promised to call me at a certain time . I expected his call impatiently but in vain .,0,-1
Maybe we will actually take the test today . Want to get it over with . 3 hours and 45 minutes in a room . #cantwait,3,-1
“ @USER : @USER Ctfu I still ain't get it back im supposed to get it back tomorrow ”,2,-1
Mark Zuckerberg is a bit of a loner that likes computers,7,-1
Art is powerful but expression is forever .,3,-1
Had a fantastic night at Ithaca College,7,-1
I had an important amount of money with me and felt fear of being assaulted .,2,-1
legally we can the government for many things . #man,2,-1
Over 2 weken tegen @USER @USER & de rest van hun team q,3,-1
"Well , it ' s hard to say . I coughed a lot in the evening .",5,-1
my son is still sleep ... # thank God ... ctfu,7,-1
` But other people became very sad and worried .,5,-1
Sick sick sick . But have to go work my last 4 hours at nine west .,3,-1
"Hi Rose , what are you busy with right now ?",4,-1
Listening to some @USER and @USER your bass lines are killing me,3,-1
"1:20 am , time to sleep going shopping somewhere tomorrow ... wonder where :)",7,-1
Christmas mix cd in the car .,3,-1
I think my friends and family are going to be in for a big in the near future .,7,-1
Yes . Don ' t you think he should be pitied rather than accused ?,4,-1
Saving my money ... for a special date of a special someones,7,-1
Happy Thanksgiving to my fan @USER love you see at 930 oh yea,7,-1
En serio ? Tu estas jodiendo ? RT @USER : Me llegó un cheque de estimulo federal ... este año tambien hay ?,7,-1
"To discover JOY is to return to a state of ONENESS with the UNIVERSE . "" ∼ Peggy Jenkins",3,-1
Sipping a glass of red wine whilst listening to Christmas carols w / my puppy Sophia and @USER,3,-1
more days in Sydney then im NewZealand bound . Last trip before study mode next,5,-1
When my mother and father were on an excursion in Czechoslovakia and I was at a student camp and I heard over the radio about the events that were taking place there .,5,-1
@USER @USER idk why but this is the fourth time and I 've started it gain lol .,3,-1
I think i want to talk to you about it all but then again im afraid of humiliation and rejection .,2,-1
"However , I am not now so anxious about my sister being left with Seor Mitchell .",2,-1
"@USER this will be my first Christmas on twitter , looking forward to 2/3 weeks of solid being tweeted #BloodSport",2,-1
Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone .,2,-1
“ @USER : When guys get jealous it 's kinda cute (': When girls get jealous World war III is about to start.truth ms general Amor,2,-1
I was astonished at the smallness of the area which these enclosed .,7,-1
Have you made the decision yet ?,5,-1
Came back from surfing to find car broken into and gear and money stolen .,0,-1
"tweet dengan artis macam tweet sorang 2 , xkuase nak tweet dengan artis",1,-1
Anna and I are hanging with the Bailey Bunch at the U of M volleyball game .,3,-1
"9 décembre 2011 , l "" Europe à 2 vitesses "" est définitivement en marche . #oupas",5,-1
Been in my living room for almost 2 days straight lol ...,5,-1
I am really sad that nobody wants to do it like I have done it for them .,5,-1
Hahaha ! He is prolly ordering Rock Bitch right fucking now .,1,-1
"At just over 50 hrs in has amazed and excited to ridiculous levels , entry into my fav games of the decade is granted Sir ...",3,-1
"Damn ! Loved that place , too ! RT @USER : Check News.change.org for the full scoop on Chick-fil-a 's homophobic official stance .",5,-1
Finally gave in - put put all the flip flops away and moved the winter clothes to the front of the closet . Must ... not ... weep ...,5,-1
It always hurts . I hate going .,2,-1
"there is nothing more endearing than kermit and the singing rainbow connection . well , maybe fozzie 's fart shoes . both bring me",3,-1
"to pikeville to eat , and then to a basketball game .. .",3,-1
people who do n't know the meaning of ignorant dhjnerwngvreiuovhuwbfrfgiodsj,0,-1
When a friend would n't speak to me and would n't tell me why .,0,-1
I 've got a massive pile of ironing to do :/,3,-1
I burnt my tongue this morning on a toaster strudel,3,-1
Dominique de Villepin annonce sa candidature pour la présidentielle 2012 !,7,-1
I hear Michelle Duggar 's baby passed . And that people are saying shitty things about it . I 'm glad I do n't see that in my stream .,5,-1
You know that feeling you get before you make a decision that will effect the rest of your life ? oh yeah its called,2,-1
Some noisy guests arrived at the hotel . I had been slightly irritated earlier . At night when I was trying to sleep they were having a party so I went and yelled at them . I wanted to sleep as I had to get up early the next day .,0,-1
Guess who is running late again ? ',7,-1
"Winning a race that I had been training for , for many weeks . ( Running Race ) .",3,-1
"Great meeting with @USER senior team this morning , then fabby catch up with the wondrous @USER",3,-1
"My boyfriend finished our relationship when I started studying psychology in Nijegen , because then we would not be able to meet frequently anymore .",5,-1
I just saw a HERD of 8 squirrels playing tag ! ! I kinda wanted to join them ... #beautifulthing,3,-1
When I was told that my friend 's wife had cancer .,5,-1
How 's your married life ?,3,-1
Even though it 's only 45 degrees out it 's a diservice to NOT have your sunroof open on a sunny day in Oregon,3,-1
I had a really long talk today about what I believe in . And why I do . I 'm so proud to have a stance worth explaining and defending . :),3,-1
! ! ! Nasty gay ass RT @USER : Now Why Would u Wanna Suck Ur Own D * * * ! ! #RHOA,1,-1
Fear and are mutually exclusive and incompatible . One constricts while the other expands . #inspire #quote,3,-1
"Giving the mouse hand puppet a gravelly , Michael Gambon-esque voice at Thanksgiving got mixed responses from young cousins . #Laughter",2,-1
"Awww , I 'm hearing a song that reminds me of a friend ... but I 'm not currently speaking with him ... ugh :(",5,-1
"When he saw her horrified expression , however , he stopped being a doctor and became quite fatherly instead .",2,-1
It 's a shame that there are still no Secret Garden DVDs available here in Japan ! Wonder who is holding their hands on a release ..,5,-1
"Feeling desolate , she climbed back into the car , not daring to look at Roman in the silver moonlight .",5,-1
Dont release inside me syndrome,2,-1
Trying to find something to about the place but I have found I have done everything already : c,5,-1
Father forgive me for my and help me live boldly in Your #truth #GloryOfTheCross,2,-1
"As soon as I get back home , I 'll be ready to go back to campus .",5,-1
I felt joy when I came to know Christ . That is when I became a Christian .,3,-1
Legit my hair and makeup is cute lol since I just wokeup,7,-1
Lost my girl-friend .,5,-1
@USER haha good girl ! doing much tonight ? #justtryingtoupliftthisboringconvosation,7,-1
U drink pickle juice like water RT @USER : Mhmmmm :) hahaha & @USER : Pickles & mayo,1,-1
Viendo a @USER en con @USER wow ! ! Yo crei saber todo de y oh ;),7,-1
"Our tutorial group was soon to be divided , and we got a list of names of freshmen , out of which five were to be in my group . We read the names and then each group went its own way to a seminar room . I wondered how I would cope with the new situation and if I would succeed as a group leader .",2,-1
"@USER when I saw my tweet was retweeted , I did not expect it to be you . So you get a special S / O for being unexpected .",7,-1
His poor scrawny hands grip the arms of a wheelchair pushed by his adoring wife with the now familiar expression of a too-bright smile and devastated eyes .,5,-1
I was river rafting in Nev . and our boat tipped over and I was sucked under in to some rocks and got stuck and all I could think was that I was going to die . And it was so quiet under the water it seemed like no one would care or remember .,2,-1
omg police helicopter flying over my house . #saveme,2,-1
I wish i could get the lyrics to by @USER tattoo 'd on my body . But that 'd be one big ass tattoo,2,-1
She looked utterly desolate and all of her thirty-eight years ; her cheeks seemed to sag and her jaw-line looked heavy .,5,-1
that seems like an awful waste ! Why do n't people order fewer dishes so that they do n't have to throw so much away at the end of the meal ?,0,-1
Got powderpuff outfit finally all planned :) ... now homework .,3,-1
Hobbies are never too late to learn . They offer a variety of classes at the local community college . You should look into it .,3,-1
When I had not understood anything after a lecture .,5,-1
@USER China has it right regarding Do n't listen to the rhetoric and mongering disguising #oil and #gas motives,2,-1
mid term review in every single class .,3,-1
"Just bought dinner for a homeless lady , & gave her money to feed her cat . How the fuck is this situation possible in western Europe ?",0,-1
Laying in bed with marco & paul jammin to trying to fall asleep while tons of little kids scream & run around frantically .,3,-1
It was like hey .. these are the people you are missing out on .. and I dont see them ..,5,-1
@USER @USER yum yum ! i am sleepy #yaaaawn,7,-1
@USER for sure ! and they 've taken a nosedive since then kind of like EP after Irtiqa,5,-1
Came home from vacation to find out a fish rotted in our fridge and it smells awful ! To top it off my room is right next to the kitchen,3,-1
off to another exciting day at work :(,3,-1
"work , work , work , work , fucking job",5,-1
"When I realized that my girlfriend , whom I like , and I were going to separate .",5,-1
"Take your Feelings like and put them into a picture ... thats what I do , I do n't #Cry , I #draw my #feelings",5,-1
Thankful for a Maker that is jealous after my ( your ) heart . :),3,-1
When I got my results - I had passed the form III exams . I had not expected to do so well .,3,-1
"Im not afraid of tomorrow , for I have seen yesterday and I love today #less Cant wait for the weekend ! ! ! :)",2,-1
Decided I 'm moving to Boulder Colorado .. :) @USER .,7,-1
"At first Tony looked less happy than before , and said he had become somewhat despondent about his lack of progress in finding employment .",5,-1
The wifi at school better work or im for twitter during the day,5,-1
Ce matin je veux parler à une vraie fan ... de me laisser ton num . ( #bientot ),7,-1
"Yeah but , he is always in a really foul mood . I try to find out what ' s bothering him or get him to talk about his day but , he always shuts down and brushes me off .",5,-1
5 minutes till pizza express pizza is cooked,2,-1
@USER ik ! Miss you too . I know you liked seeing me while walking off the field :),7,-1
2 hours and 10 minutes left of this shift .. then 14 hours before tomorrows shift begins ..,3,-1
Church & brunch with the fam then off to mt pleazy to study my life away,3,-1
"I have already known that . I did n't get the scholarship , right ?",5,-1
This is gonna be a long night ! ! Ca n't wait for this week to be over :) at least there is only 12 days of school left ! ! ! #MOTIVATION,3,-1
"not afraid of tomorrow , for I have seen and I love today",3,-1
"She looked a little less resentful than earlier , and - - dare he hope it ? - - even slightly anxious for him .",0,-1
"It 's my true now , @USER to have a business that allows me to support #designers in their creation of homes for others ~ See next",3,-1
"Dan , Dan , dude . You have to come over to my house right now !",2,-1
Wonderful . I ' m so excited .,3,-1
When I went to visit a friend in the hospital . She had to undergo an operation for rupture . I was glad to hear that the operation succeeded and that she was relieved of her pain .,3,-1
"Goh , ik ben wel creatief als ik zo naar de surprise kijk die ik aant maken ben voor Maandag .. #moetmaarweer",7,-1
"Bath , finish x factor and science til early hours of the morn . - _ -",3,-1
"I would like that Anna , but I think I ' ll need a little space for a bit .",5,-1
But i didnt get to see ms.limas pretty face .. :/,5,-1
Sunderland Manager Steve Bruce 's been sacked !,7,-1
ain't america grand let 's all be thankful for what we have cause it 's shiny and they told us we 'll like it on TEEVEE,2,-1
Just got Doctor Who season 6 in the mail ! :D,3,-1
My aunt is coming from for a visit during What a nice that will be ! !,7,-1
"No less a person than Gloria Estefan rang my startled publisher before leaving London , to order the Ology book , because she was crazy for the commercials .",7,-1
"Gedoucht , en ben echt moe ! Gelukkig vandaag geen lang dagje ! En als ik thuis kom moet ik ook nog even een gedicht maken !",7,-1
A boy I had been admiring so much asked me to go out with him .,3,-1
Jsenbewns test in like every class tomorrow,3,-1
The court expressed dismay that Wiltshire Social Services had called in a voluntary agency to help look after him .,2,-1
Messed up hand from punching shit . management please,0,-1
N I 'm sure ur stomach can tolerate it all smh RT @USER I get to eat at the 3 houses tomorrow ..,3,-1
The overwhelming i felt when #coldplay sang a second song . The only good thing #xfactor has done this year is get them on the show . <3,3,-1
"there 's tremendous power in the i speak blessings , wealth , success and in my life !",3,-1
Elf time ! Cosied in front of the tv with proof-reading to be done,3,-1
En fait finalement je part plus seule en Australie : un pote du Roller m'accompagne !,7,-1
Geslaagde stockverkoop ! En maandag mag ik iets super leuk bekend maken op onze Fb-fanpagina ! :-),7,-1
""" That depressing moment when you start talking to someone really attractive , but they can't keep a conversation going . "" #sigh",5,-1
Be brave . Remember that is not the lack of but the ability to move forward in spite of fear . R Costa,2,-1
It 's a good day when @USER shows up at your door ! ! !,7,-1
"bulls need to complete signandtrade for crawford , sign bulter .. the rest of the league can sit back and pull the covers up their chins",2,-1
When someone asks me to take over a case I do n't go back and double check the work . I trust they did it right . Trust people !,7,-1
"To have a friend who I did n't see for months , and under the circumstances that I met him made me feel happy , and perhaps because it has been one of the good things that I learned with this friend .",3,-1
Congratulations ! I had no idea .,3,-1
I ' m delighted that you were pleased with the response .,3,-1
"That awkward moment when your horoscope says that "" Your kids will have a wondrous day . "" ? ?",7,-1
"* sigh * so if things are not often as they appear or I wo n't it to be seen , I guess theres no hope about ...",5,-1
"Yeah , I know . A friend in need is a friend indeed . I do n't need fair-weather friends either .",4,-1
I did not like it when a little girl was crying for her dead mother and was calling her by her name . I was sad .,5,-1
No can do ... sorry .,5,-1
In about 48 hours some of us lucky ones will be frisked by security @USER,2,-1
"Finished me thesis ! ! ! and nowwww to start that other annoying , stupid , irrelevant paper due tomorrow #FKNFABULOUS",3,-1
The excited smile on her face told Ingrid that the girl was enjoying herself .,3,-1
Man city winning again,7,-1
@USER being snuggled up in bed after a long soak in the cranberry soak bubble bath when it 's all windy and cold outside,3,-1
hey .. & always remember his promise to give me something which i wanted in ninth grade .. &,5,-1
“ @USER : bout to take a bath relax listen to sme ♪ ♩ ♪ ♩ and wait on my ;) ” caking ass lol love u nite,7,-1
My 19 year old cousin who did n't go to modeling school because she did n't feel like doing the paperwork wants to get married soon,7,-1
Somebody took my wristwatch and promised to have it mended and later was telling me that he could n't give it back to me because I was rude at a certain time .,0,-1
When I am alone and listen to a song which I like very much and which I had listened before together with friends .,5,-1
"@USER you 've abandoned me on the chats of late , forcing me to resort to tweeting",5,-1
City shutting up shop thought they were amazing attacking side ?,2,-1
"Now that Porto are out of the Champions League , we can expect this flimsy stories on an almost daily basis .",3,-1
My lips are on fire ... Guess I 'm putting clothes on afterall ... :/,5,-1
@USER its niggas too ! ! ! This one nigga said period blood only make the pussy wetter o_O,1,-1
Party game ! Only one more day in drama,5,-1
Had to get up early just to let the creepy window people in and to freeze my ass off,3,-1
Gonna look right now RT @USER : @USER Akon comes with changeable bar colors . Look in the box ! ! !,7,-1
"@USER lmk your plans for black friday , I am thinking of actually going out to shop this year hehe",7,-1
"Nothing that infuriates me more than perverts , I hope this man gets his head bashed in .",1,-1
"@USER @USER I have to agree here with paul I have lost many friends and not one of them got even in a papers ,",5,-1
And here come the tears ... I wish my life was a chick flick .,5,-1
@USER it beggars belief that he could n't grind out 2 draws . When you think we we 're ahead in the Oxford game,0,-1
"Is snotty , achey and has a cough like a dog and now am going to an ICT course #lowexpectations",3,-1
"@USER lol .. I know , usually , but it really was cute . Now he 's gone back to his nose in the air ,",7,-1
I 'm to spot in this bed ! Ca n't move for the of #ColdSheets ! !,2,-1
"cool , we wo n't get back home till at least 11:30",3,-1
"Als een date te mooi lijkt om waar te zijn , dan is dat doorgaans ook de werkelijkheid .",7,-1
"This angry rap artists , really does n't sound very happy ! issues",0,-1
"Driving back , she managed to keep her anger in control .",0,-1
actually kind of good at hockey ..,7,-1
My friend came over to my house for a sleepover and she forgot her copy of Deathly Hallows Part 2 . Really ? ? D:,5,-1
"Sweet merciful heavens , there 's a sequel ! !",3,-1
"To those workers who profess bewilderment as to how they might help , who feel their knowledge in sexual matters is insufficient or are doubtful of their capabilities for sexual counselling and aid , one would suggest that they raise the matter within their training departments .",7,-1
Treatment to become pregnant with a negative result .,5,-1
Endure for the Night ! cometh in the morning,3,-1
"Hi , Francis , how was your business trip ?",4,-1
Oh ! yes,4,-1
"Black coffee , my iPad and my eMags before work",3,-1
* Chuckles * @USER : RT @USER : @USER am glad its gone ... basically I 'm goin to make up for the past couple of days dnt b alarm,3,-1
"No , just come here .",3,-1
Was nearly knocked down by a car .,2,-1
Ah looks like it 's that time of the night where @USER and @USER take up my entire timeline . But really though .,3,-1
So much holiday cheer at the Pilchak house right now,3,-1
You bet !,3,-1
"@USER Nay , those scare me bra !",2,-1
DUDE . Traffic is 2x WORSE than it was at 5 - & I stayed in the city 2 hrs later to miss traffic ! #fury #rage,0,-1
"But he was confronted by an ecstatic welcome from his mother , who was waiting for him on the doorstep .",3,-1
"I ' ve heard of women so depressed that they spend their 40th birthday incommunicado , having a mini nervous breakdown in bed .",5,-1
"Fine , see you then .",3,-1
"the hook of the door keeps hooking onto my lace shorts , it is ripping the lace",5,-1
i 'm awake why ? oh ... cause my phone loudly vibrated early this morning & i cant go back to sleep .,3,-1
SHROOOMMMSRT @USER : @USER is the best girlfriend ever . she 's taking me on a trip today .,7,-1
SUCCESS ! last night was amazing even though it was n't a ... oh well :) LOVEYOU @USER,7,-1
Soo tired . I do n't want @USER and @USER to leave .,5,-1
"Une des mes plus grandes tristesses est le fait que pour la première fois , je dois changer de pantalon de guindaille .",5,-1
The best feeling when someone tells you that you lost weight <3 33,3,-1
Tom 's changed his Twitter username . TOM ! ! ! DON'T LEAVE ME ! ! !,5,-1
After reading the sad story about the 3 yr old who was killed by his parents #sadness #tears,0,-1
