emotion_label,text
joy,the world can't give you only happiness. one last a lot longer. #gofigure
anger,he dipped the cotton wool in the water and dabbed at the livid puffy eyes .
sadness,"` i am sad we have not been afforded the same welcome given to the beirut hostages , "" he told a deeply moved audience at the agm last month ."
joy,oh early morning preachings by my father
joy,if you are robbed of during tribulation it is because u hav not entered into the means he has provided for joy #prayer communion w god
surprise,@ally1kinobi thought i'd stop by and say i can spend christmas holidays with you now at the lake. miss you!
joy,"good morning , jim !"
fear,not afraid of tomorrow for i saw yesterday and i love today #less
anger,they soud like the neighbours from hell !
joy,if chris paul sum how goes to the clippers. idk i'll lose it
surprise,chocomousse vergt [NUM] ml slagroom. dat heb ik dus niet in huis - en je moet het met de hand kloppen. niet met een mixer. kansloos.
sadness,"the time i lost a badminton match, that i should have won at the zambia closed badminton championships."
joy,"the advertisements appeared in novoye russkoye at the weekend , causing a buzz of excitement in the soviet expatriate enclave of brighton beach , also known as little odessa ."
fear,my and #anxiety is lifted. i think i'm going to pass #statistics and maybe even do half decent. got a [NUM]% on the third #exam
joy,thrilled to reunite with my best friend today! it's raining though and we have to find our way to a theater for a dance show downtown.
sadness,"not from this brand , i'm afraid ."
fear,i can not wait till factor i love that show!!!!!! missed watching it :-)
joy,"study all day tomorrow, most of the day saturday and sunday."
neutral,so ?
sadness,just saw an empty summer shandy box next to my aunt's fridge. but no liene to be found
fear,nearly a year later i'm driving on freeways at rush hour without any fear!!! i conquered my with #confidence! feels great!
sadness,"her voice shook , her face was white with anguish ."
sadness,"going loner to target, panache and hob lob..."
joy,"this would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal ."
anger,"his teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations ."
anger,"when they broke the artistic work of several weeks. changes were made and it was broken without permission, they had no right to do this."
surprise,net halfuur bezig geweest bij de kraan om de lijm erg te krijgen #dinnetjes
joy,"took a nap for a few hours, now watching christmas movies"
sadness,"for the owner , it can mean heartbreak at the loss of a family pet ."
fear,"tiens, y a de la taurine dans les croquettes friskies chat d'intérieur. #miaou"
anger,it is impossible . you cheated on me .
sadness,"no afternoon nap for me, burning my episodes into dvd to prepare for stu the hard drive's reformat. :("
joy,ill be working from 9pm-6am on black friday
neutral,nothing .
fear,i was at home and we were sleeping when we heard some robbers breaking into our house.
sadness,@mwscripts want english bulldog puppy.
anger,i will be the most disappointed if they actually consider taylor swift for the role of eponine in the movie version of les mis....
joy,@sabambury i wish everyone saw church as a highlight of christmas!
disgust,"it linked the poor performance with the exodus to the west of more than [NUM],[NUM] east germans disgruntled with communism ."
sadness,in an expression of community sympathy many local children in south ronaldsay made and sent cards to the four devastated mothers .
sadness,[NUM]:30am my guy friend was gonna come up to my window. and i fell asleep before he came. :(
sadness,"[NUM] &amp; = make pleasant, wonderful #memories right now! &#xa;#recovery #survivors #stopabuse #ptsd #livefree"
joy,"some people bring joy wherever they go, and some people bring joy whenever they go.— mark twain"
joy,yaay! my brother said he'll play badminton with me tomorrow :d
neutral,you'd better prepare for the examination .
joy,going to a concert.
fear,"there was public disquiet , questions in the commons and an enquiry ordered into jeffrey 's whereabouts ."
anger,"i was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some [NUM] months after our sharing began. prior to this, she had said nothing."
fear,"«@revrunwisdom not afraid of tomorrow, for i have seen yesterday and i love today #less»"
anger,"don't get the impression that you arouse my anger. you see, one can only be angry with those he respects. ~richard m. nixon"
joy,"we do many things . in the morning , we go swimming and boating . in the afternoon , we play basketball or tennis . we sit around a camp fire at night.we sing or tell stories ."
joy,arabic coffee what can i do to make you happy.
fear,"i feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going."
surprise,"met z'n 4en sint gekeken, nu lekker slapen, en morgen surprise weggeven en ontvangen in lopik!"
joy,morning tweeps.. hope you guys have a great filled with and #happyness
joy,when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results.
sadness,just got back from my last history class until next semestre.
surprise,"&quot;i'm gonna love you, till the stars fall from the sky for you and i&quot;"
anger,"a terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream ."
sadness,another day spent in my bed. i really should get a life.
fear,concered my of hights today! went all the way to the top of climbing! sooo proud and beat enrique on quad biking!:d love my girls x
anger,when i was a soldier i quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. naturally he checked me up on the second night and found me asleep for which he sent me to the cells.
surprise,getting ready for a baby shower at work. here's hoping no one at work is following me on twitter hahaha surprise!!
neutral,not really !
joy,lady a concert with @kdclapp06 by some sketchy people.
neutral,to the beach
sadness,i want you and sheila to know how very much i appreciate the kindness shown to me in my earlier mood of despondency .
neutral,everyone from school .
anger,"no , i just check my weight , i'm getting fatter ."
fear,dnt believe the lies look me in my eyes plz dnt b scared of me.. i miss the deep #drake
joy,when i passed my form three exams.
anger,i laughed -- i did n't feel offended .
joy,"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise god !"
neutral,"yes , there are something good and informative . i think that many people underestimate the value of tv in education ."
fear,"is strong. #darkness is strong. a #soul is a pure bright, brave beam of light."
fear,"steven , i ..."
joy,on meeting an old friend of mine.
joy,"no matter how old i am, anytime i have a leaf blower i will air blast the closest person to me. brings me"
fear,@markparkinson80 now that man is a proper genius
fear,when i thought that i had failed the examination.
surprise,even though i'm mean af to this person i'm still buying them something.... i guess i should them
joy,since i passed the dmct last year i get to spend my math hour doing absolutely nothing in the library..
sadness,"when i became conscious that men don't wnat anything they don't have a goal. they have: sex, but this isn't important."
surprise,@nickensimontwit hoe kan je gemakkelijk een gitaar namaken van karton?
joy,"well , it's a special day . they say if you survive the first year , the rest is smooth sailing ."
surprise,my aunt is coming from for a visit during what a nice that will be!!
sadness,they all seem terribly sad .
sadness,"during the days that followed brackenbury 's hasty departure , edward 's despondency increased ."
surprise,"@theycallmetiny2 ransacked meadows/brewhouse last night for all it was worth, opened up the wallet though,"
anger,my father promised me a bicycle for my birthday. just before my birthday he forgot he promised this to me.
anger,auguste shot him an indignant glance .
fear,of losing my spark haunts me everyday
anger,"i worked with several classmates on a project. i was very anxious about the project while my partners showed no concern and when we had meetings on the project my classmates did not pay any attention. some of them read books while the others argued on irrelevant questions. the meeting would go on for two hours without the main theme being discussed. we wasted time and could not reach a compromise. my classmates avoided doing the work and the responsibilities, they seemed to value other projects more than this one."
fear,f.e.a.r. = false evidence appearing real
joy,when my son returned from mountaineering - healthy in body and soul.
fear,water level rising near my home #flooding
joy,on my way to clean the mess that was made at urban today.
anger,when my kid brother broke my reading spectacles.
anger,"really , mary , you ’ re horrible ."
fear,when i close my eyes i wont wake up! ! #truth
neutral,what ’ s up ? you don ’ t look too good .
disgust,ewww she got that nasty ass default like she cute
joy,so now i am doomed to forget something. i just have that shitty luck.
fear,"america is the new north korea, china, germany and russia. we're the military controlled, self-spying, censoring paranoid antagonists."
sadness,then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring-side seat and she wanted to run away .
joy,more lifeguard training tomorrow evening.
sadness,when an earlier friend was spreading negative rumours about me.
anger,the newcomers feel cold-shouldered by the local population on occasions and become resentful of their almost tribal clannishness .
disgust,i understand the mood but if some of them are disgruntled they are entitled to call an egm .
joy,"seein' folks, overcome limitations, by seeing that they can be who they dream! that their capacity for is the compass!"
joy,my birthday and christmas are right around the corner and i have no idea what i want
sadness,its funny how people who follow you eventually unfollow you only because you never followed them back.
surprise,aww one of my mom's old special ed students from like [NUM] years ago came and visited her!! soo cute! that just made her day :)
sadness,"` i used to be sad and pathetic , but i 'm not so miserable any more ."
joy,bought my first xmas gifts today!! so full of i love christmas time!!
anger,"` what did you mean , rachel ? "" her mother asked slowly , ignoring her husband 's indignant look ."
joy,"as i type, i get texts... baby is fine (moving &amp; heart beating) since she is o-, they've given a rh shot, to be safe. the baby is fine!"
joy,thanksgiving: spending the night at the emegency room.
surprise,@k_tray so your harry potter dressed professor hates sex...
sadness,my mom asked me if cole caught a deer this year... mom you kill deer...
joy,today has been so off. time to work in crutches tomorrow
joy,(miracle scripture [NUM] b.c.) behold the virgin shall conceive &amp; bear a son &amp; shall call his name immanuel is. [NUM]:[NUM]
fear,talks going well? most pissed off with play acting and playing dangerous games #flashmen? #skynews #skypapers
fear,"one morning of hard graft left, then [NUM] days of sun, food and bevy. just need to get through the plane journey, scary shit that like."
anger,when i saw my brother being attacked and i could not do anything.
fear,"he 's concerned what will happen to me . """
sadness,i'm so happy @harley_cope5 never says she's thankful for me to be one of her best friends.
sadness,when he wondered this he felt a deep sadness .
fear,"good day at the gym, bringin that and that but leavin that"
joy,@mrctn615 we wear the crown cuz we deserve it!
sadness,andare a fare shopping e tornare a mani vuote a casa...
neutral,"don't be so irritable . i just don't understand the program , that's all ."
joy,"on holiday, seeing the lanscape in girona."
anger,pretty sure kiss only ever play about [NUM] different songs. and they're tgif remix pisses me off. and they say 'gwetta' and 'agwilera'.
joy,minute shards of glass slashed across rohmer 's ecstatic face .
disgust,&quot;was that a period poop? it definitely smelled like a period poop&quot; #ihatemyfamily
anger,waiter !
fear,intelligence puts man on the throne. faith puts god there.
joy,getting a part-time job.
anger,"i believe that was a wedding present to both of us , joanne . and you hardly ever use it !"
anger,nothing would satisfy me more then to see the light leave his eyes and to know he no longer draws breath
anger,"hoskyns , who only had another year to live , was angry at his university ."
surprise,"@mylan4 ik wou jou heel persoonlijk benoemen, dus die is nog in de maak! #present #wachtmer"
fear,of losing the people i love
fear,the passengers looked horrified .
joy,is it just me or does anyone else out there love the smell of their fella post
joy,about to bomb this physics test
joy,good morning world!
sadness,"a merciful wave was closing over it , healing her despair ."
sadness,relative's death.
fear,"☁☾ &quot;fear can keep us up all night long, but... f a i t h makes one fine pillow&quot; ~unk"
joy,eating my first candy cane of the season
sadness,"she was once considered one of the world 's most beautiful women , but yesterday every line etched on britt ekland 's face told a story of personal anguish ."
fear,before giving a seminar to a rather large audience.
sadness,i wish i was in london so i could go to trafalgar square @louis_tomlinson i wish i could meet you all
sadness,yes . it seems she can never accept a childless marriage . we had a fight last night .
disgust,smh im really sad. the only basketball i have to look forward too is march madness????
joy,you gotta put some dish detergent in the tub so you can get dat bubble action
joy,work then working out then homework
anger,"brazil , for example , was miffed that the summit was n't scheduled for a date after inauguration of its new president next month ."
fear,"when my son fell off the cot at the age of [NUM] months, i became very nervous and thought that it would cause defects in his head."
joy,so excited to party party tomorrow night with one of my besties miss emma rose :) xxxx
fear,i saw the frightened horses on the edge of a steep drop .
fear,"i was physically assaulted and sexually abused about a year ago. just the feeling that i might not get away intact, or even alive, produced fear."
sadness,after the fact that made me ashamed i felt sadness.
sadness,"lol can people people stop with the arashi's fns mic situation, ok we get the point. anyways, i still can't find tmr's perfs"
sadness,@banjigirl i don't even know whats going on. things have folded.
joy,"pretty excited! orgelbau, dillingen, was chosen (unanimously) to build the new organ for my church!"
fear,"when i was feeding a premature baby ([NUM] months), the baby chocked. this was when i was working in children's ward i thought i had killed the baby."
fear,you're the reason to a lot of my devotion. @drake
disgust,holy shit i just weighed myself for the first time since before college.. i put on [NUM] pounds in a semester.. pure in myself
sadness,at my brothers friends house doing nothing. this is what happens when i come back home
sadness,totally not . perhaps it's about our marriage .
neutral,who won ?
sadness,school shootings need to stop. i know there is no quick fix to this. but schools are supposed to be safe.
anger,"@rxkitten i did and they didn't really intrigue me. plus, the campaign ending was anti-climatic to the nth degree. uninstall game."
surprise,"today: eat, work on paper, work on lab, work on paper, finish lab, eat, finish paper."
sadness,sometimes i do wish i had black hair..it is much eaiser to find hair weave . :(
sadness,my dad made a campfire. we have chocolate and grahmcrackers but no marshmallows...what even is this. &lt;/[NUM]
joy,"so i'm sewing, walk downstairs to make a pot of coffee...and find christmas decorating in full swing!!! gotta love daughters!"
surprise,"ok..dus de gouden verf van de action is stiekem zilver..goed om te weten, maar vertel het voortaan van tevoren."
fear,"` south africa must be worried how easily we did get through , and close to their line , because they know that will carling and jeremy guscott are amongst the quickest in the world ."
sadness,having some massive busted sesh! why the fuck did they ever break up!
fear,on the edge of slipping and winning...
surprise,too fresh..came home to a new flat screen tv
anger,there was really no reason why star should be cross .
surprise,car was just k9 searched. what the hell? didn't find anything!
joy,"last course, when i passed with good marks three subjects which i had previously failed."
fear,"goodbye, farewell, so long...."
fear,you a fuck nigga; you fear the fags cause you fear them ganging up on you &amp; destroyin what you slutted for. #hard
joy,"hate trains just ran for one and missed it by a second, saw it drive away, now half hour wait for the next one oh"
anger,"no lights, no wifi, no fucking way of making my dinner."
anger,"she turned to fran , faint annoyance crossing her face ."
sadness,pour moi car je n'ai pas beaucoup de followers :'(
neutral,i won ’ t damage it .
joy,"wow sounds interesting ! excuse me if i am being a bit nosy but , how old are you ?"
fear,don't you turn a blind eye! .. change what's been programmed inside!!
sadness,just realized that i'm allergic to my shampoo!! great!
sadness,its prolly gonna happen in the morning too &gt;.&lt; ugh whatever idc anymore :/
disgust,"i am sickened to now learn that the government has acquiesced to the other ec leaders on this issue at the edinburgh summit and that , for the sake of subsidiarity , this directive has been dropped ."
anger,"i experience this emotion quite often but the day i was most angry was the day i got pulled up for something i had not done. it happened during my school days, i had not spoken a word in class but the monitor had written my name on the board. so i had a remark in my callender which i had to get signed by my parents. this remark resulted in me being spanked."
disgust,i gag in myself wenever i hear my parents say &quot;sexci&quot; =/
sadness,"as he told barbara afterwards , he had never felt more depressed ."
surprise,pizza hut just delivered my pizza [NUM] minutes early and it is one of the top five best pizzas i've ever had from there.
anger,"oh , the food here really is bad . my soup was cold and meat , ur ... it was like leather ."
sadness,the moment you realize you've lost the one person you always needed most but wouldn't admit it
joy,"listening to eternal by joy division. sad, mournful and beautiful all mixed together. division #ian curtis"
fear,"je me fais stalker sur par un mec de l'âge de mon père, je l'ai refusé en ami, mais il like tout ce que je fais en public"
joy,"anyway, time to settle in for a nice plane ride and lots of russia i reading"
sadness,"@mariiiiahhx3 my mo said im not allowed to get picked up from school tomorrow , because i didnt go today ):"
sadness,@caitlynxjesus8 love you to caitlyn.. so sad i have to miss switch i might die
joy,homework for the rest of the night.....oh lol
joy,solid workout at indoor!! time to do hw half asleep!! #tired
disgust,its not anymore. take care of your wiley body hair. you shouldn't have been doing that shit in the first place.
anger,wow i haven't had this rush of adrenalin in a while.
fear,@gilbhas lo gak takut pembunuh! yang lo takutin adalah hobinya dia kalo lagi bete..
joy,when my brother gave me a watch.
neutral,ok .
fear,wonder how almost a whole week at home will feel
fear,i'm discovering a band i missed from [NUM] years ago... wishing i hadn't been so sheltered growing up.
sadness,she looked into his eyes and saw terrible pain and inconsolable grief .
surprise,some things can ruin your day real quick
fear,"you shouldn't domestic drones anyway. who ever heard of a drone attacking the wrong target? no one ever, that's who."
joy,"i'm sure ill be sick next, these babies keep coughing &amp; sneezing on me.."
anger,"i just want to sleep, i'm in a bad mood right now. #sadness"
surprise,@mr_rich_tycoon good- we had family pictures that was whats up...all the kids for their grammy u know can't wait
fear,"@tomharris5 i was goin to bring it, do u want it at corners coz u want it at the end of today then? #nomistakestoday #3morepoints"
neutral,which guy ?
joy,sore throat &amp; i feel sick to my stomach
surprise,amir had his first comment at valiant today!!
fear,"his voice was tetchy , but not alarmed ."
sadness,my friend was badly hurt.
joy,when my child was born.
joy,"` i 'm delighted they left you the house , "" julia told margaret ."
surprise,cherche de pour pour ce samedi soir !!!! &#xa;des #idées ? merci !
fear,"“@revrunwisdom: not afraid of tomorrow, for i have seen yesterday and i love today #less”"
surprise,not a good idea to smoke before you narrate and act out a poem in class..
sadness,i honestly spent wayyy too much money. im such an impulse buyer....
disgust,newsnight. it is making me sick hearing these rioters justifying their actions
anger,the surname of my brother was different from ours. he often grinned at home and provoked others for the pleasure of it. this made me angry.
anger,a teacher at my former secondary school forced my darling to marry him. the girl tried to refuse but her parents would not leave her alone.
anger,i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it. my entire front bumper was destroyed.
anger,"unfair and unjust attitude toward a person close to me, what i was the witness of, caused anger in me."
shame,""" what 's this , playing infant games still ? "" he demanded , and was gratified to see the flush of embarrassment in tristram 's cheek ."
fear,leo demanded as he wrenched back to stare down into her almost terror-stricken face .
joy,"letting jesus take control of my emotions i.e., ill feeling."
joy,my garage is full of a bunch of drunk people
fear,i have received no representations on that matter and i am not aware of any disquiet among the groups that the hon. gentleman described .
joy,god clearly heard me when i asked him yesterday to surprise me this week! grabe talaga love niya. im in tears! :&quot;&gt;
joy,"it was saturday, my duties were over for a few hours and i could at last be with the people i wanted to see."
surprise,@lizziemmoreno in the real world rapist don't use lube
sadness,when realizing that my girlfriend and myself in fact had started the process of breaking up.
sadness,"a despondent renault worker remarked , ` it seems to me that we came very close to something new . """
sadness,just received a brand new but it seems to hate my sim card. support tells me they don't know whats wrong :(
joy,"i officially hate you, i guess."
fear,@sachalan free expression as revolution
joy,"started my day with building a snowman, taking pictures of the freshly fallen snow, michael buble &amp; a cup of tea."
sadness,"oh , my computer crashed again !"
sadness,it was horrible ! it was just one thing after another .
anger,ooh look at me i keep copy and pasting jokes off websites because i'm a dick.
sadness,a little bit of soap entered to my eye when i was taking a bath. :(
anger,fuck going to school if it means i have to look at your face!
joy,[NUM] hour drive to the airport. wait in the airport for [NUM] hours then [NUM] hour plane ride. followed by a hour drive home. #howilovetraveling
anger,"mau diet curcol di twitter pasti gagal yg tadi makan dikondangan,sekarang makan pecel lele #lol ancur sudah diet ku #lol"
joy,eating everything in my kitchen...hm must be that time on month again :/
fear,he was concerned that the room must be left just as durance would have wished .
joy,great concert w @avalonthegroup tonight. amazing crowd!!! see ya'll again tomorrow night!
joy,looking forward to doing nothing this weekend apart from working @thebodyshopuk
joy,but some of the younger dons were ecstatic about the election .
joy,@2fbs tis down here. worst city in nz for it. grass seed atm. howling ne'er blowing it into the air. in jan it'll be pine pollen
sadness,@inasar paris is a dream land!must be cold there.its almost mid of november and its so not cold here! weather is still the same :-(
sadness,"i know that , mom . but sometimes i'm just sad ."
anger,"my mum is so stingy that she put water in my bacardi and coke, just to save barcadi."
surprise,@dragons1lk danny is all excited and is going to pop in tomorrow when he is passing to score some more. christmas budgeting is fun
joy,simplicity would make our lives so much better. complicity would suck joy out of your life.
joy,enjoy your friday morning people!
anger,"they left behind them broken glass , tyre marks on the road and another exasperated shop owner ."
neutral,"i want to improve my handwriting , and i've practiced it for several weeks , but nothing happened . you see , my handwriting is still bad ."
joy,@lizfits pssssh. we're looking at the first snow today. maybe a sheet of ice too.
sadness,"well, i just cut jay cutler from my fantasy team"
surprise,the awkward moment when you're on a date and you look down and realize your pants aren't zipped.
sadness,"@nextactpub she is one of the most attractive people i have met this year, but that mo takes it all away. @movemberedm"
anger,"he looked away , a bitter anger in his eyes ."
surprise,"almost finished! just bought the presents, i'll finish the poem tonight, and then i have to finish the , but when? #oops!"
anger,i hate people with really shit taste in music! seriously shut up!!
surprise,despite me liking her appearances on the great indian comedy show always... despite that. purbi joshi - damadamm
fear,"this year i don't intend to drive in the snow, and especially not on the motorway. respect mother nature"
neutral,certainly !
anger,"offa release details of new access agreements - lots of new fee waivers (£37m)... great for treasury, not so great for students"
fear,"sometime i don't even have to talk to my kids, i give them certain looks and they know exactly what to do....."
anger,"no , don't , i don't want to see you anymore . don't ever call me again ."
sadness,you know ... i did very poorly on that test .
neutral,ok . bye !
surprise,guess i forgot to check the weather for today...i had no idea it was supposed to snow #wherearemyuggs
neutral,what for ?
neutral,you bet it .
anger,@detroitlionsnfl horrible pi call...again. why do the lions even show up? refs already decided what will happen.
joy,"right peeps i'm off, got my sister's ice skating show to go to"
sadness,"sorry , i don ’ t know the rule about punching ."
joy,"riot police were needed to quell pitch invasions. -- more than [NUM],[NUM] ecstatic leeds united fans took part in a carnival-style street party yesterday as their team paraded the league championship trophy ."
joy,when i got engaged to a boy of my choice.
surprise,"despite a few exggerations, there was something very smooth about it-black humour and crazy sub-plots. my friend pinto"
sadness,determinedly she put her worries and the root cause of her despondency behind her and tried to think more cheerfully .
joy,slice of life. azumanga daioh a good relax tool for busy and stressful days.
sadness,"there must be another reason why you are so sad , "" he said , looking kindly at me ."
sadness,"i was on my way back from the inter rail, on board the ferry from stockholm when my father called me at [NUM] o'clock to tell me that my uncle had died and that i would be seeing him off on his final journey within four days."
joy,"henry tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell ."
sadness,totally just woke up and thought it was christmas morning.
joy,it's nice of you to say so .
sadness,@seturego2thside you left?? are you gonna be back around christmas cause i may have a birthday party
anger,"there was a guy on the sidewalk.he had three new boxes , panasonic video camera boxes.he said he had to get rid of them quick ."
anger,"i've a situation of responsibility an employee who had a habit of being late, came late again after promising to say he would be at work in a few minutes, then arrived [NUM] hours later. he had been drinking."
